#,Artista,Álbum,Año,Pista,Título Canción,BPM Base,Half-Time,Double-Time,Compás,Tonalidad (Key),Camelot,Duración
1,Bad Bunny,X 100PRE,2018,1,NI BIEN NI MAL,140,70,280,4/4,G# Menor,1A,3:56
2,Bad Bunny,X 100PRE,2018,2,200 MPH (ft. Diplo),160,80,320,4/4,F# Menor,11A,2:50
3,Bad Bunny,X 100PRE,2018,3,¿QUIÉN TÚ ERES?,140,70,280,4/4,F Menor,4A,2:39
4,Bad Bunny,X 100PRE,2018,4,CARO,160,80,320,4/4,C Mayor,8B,3:49
5,Bad Bunny,X 100PRE,2018,5,TENEMOS QUE HABLAR,160,80,320,4/4,D Mayor,10B,3:14
6,Bad Bunny,X 100PRE,2018,6,OTRA NOCHE EN MIAMI,89,44.5,178,4/4,C# Mayor,3B,3:53
7,Bad Bunny,X 100PRE,2018,7,SER BICHOTE,140,70,280,4/4,G Menor,6A,3:13
8,Bad Bunny,X 100PRE,2018,8,SI ESTUVIÉSEMOS JUNTOS,140,70,280,4/4,F# Mayor,2B,2:49
9,Bad Bunny,X 100PRE,2018,9,SOLO DE MÍ,90,45,180,4/4,A# Menor,3A,3:18
10,Bad Bunny,X 100PRE,2018,10,CUANDO PERRIABAS,96,48,192,4/4,C# Menor,12A,3:08
11,Bad Bunny,X 100PRE,2018,11,LA ROMANA (ft. El Alfa),184,92,368,4/4,F# Menor,11A,5:01
12,Bad Bunny,X 100PRE,2018,12,COMO ANTES,170,85,340,4/4,G# Menor,1A,3:51
13,Bad Bunny,X 100PRE,2018,13,RLNDT,140,70,280,4/4,D Menor,7A,4:45
14,Bad Bunny,X 100PRE,2018,14,ESTAMOS BIEN,120,60,240,4/4,B♭ Mayor,6B,3:28
15,Bad Bunny,X 100PRE,2018,15,MÍA (ft. Drake),97,48.5,194,4/4,F# Menor,11A,3:30
16,Bad Bunny,YHLQMDLG,2020,1,Si Veo a Tu Mamá,180,90,360,4/4,A# Menor,3A,2:50
17,Bad Bunny,YHLQMDLG,2020,2,La Difícil,176,88,352,4/4,G Menor,6A,2:43
18,Bad Bunny,YHLQMDLG,2020,3,Pero Ya No,90,45,180,4/4,A# Menor,3A,2:40
19,Bad Bunny,YHLQMDLG,2020,4,La Santa (ft. Daddy Yankee),92,46,184,4/4,F# Menor,11A,3:26
20,Bad Bunny,YHLQMDLG,2020,5,Yo Perreo Sola,97,48.5,194,4/4,B Mayor,1B,2:52
21,Bad Bunny,YHLQMDLG,2020,6,Bichiyal (ft. Yaviah),95,47.5,190,4/4,F Menor,4A,3:16
22,Bad Bunny,YHLQMDLG,2020,7,Soliá,170,85,340,4/4,C# Menor,12A,2:39
